"year"," Academy Award"," Winner"," Movie Name"," Producer"," IMDB Rating"," IMDB Votes","Tomatometer","Average Critic Score","Percent Audience Liked","Average Audience Score"
1934," 7th"," False"," One Night of Love"," Columbia",6,394,60,6.6,57,6.4
1934," 7th"," False"," The Thin Man"," Metro-Goldwyn-Mayer",8.1,20917,97,8.6,94,8.4
1934," 7th"," False"," Viva Villa!"," Metro-Goldwyn-Mayer",6.6,842,80,7.5,54,6.4
1935," 8th"," False"," Alice Adams"," RKO Radio",7.1,2818,93,7.8,71,7.2
1935," 8th"," False"," Broadway Melody of 1936"," Metro-Goldwyn-Mayer",6.9,1033,83,6.8,85,7.6
1935," 8th"," False"," Captain Blood"," Cosmopolitan",7.8,10001,100,8.4,89,8
1935," 8th"," False"," The Informer"," RKO Radio",7.6,4308,91,8.3,78,7.6
1935," 8th"," False"," Les Miserables"," 20th Century",7.7,2546,69,6.9,79,8
1935," 8th"," False"," The Lives of a Bengal Lancer"," Paramount",7.3,1868,100,8,75,7.4
1935," 8th"," False"," A Midsummer Night's Dream"," Warner Bros.",7.1,2378,40,5.2,43,6
1935," 8th"," True"," Mutiny on the Bounty"," Metro-Goldwyn-Mayer",7.2,11708,94,8.1,83,7.4
1935," 8th"," False"," Naughty Marietta"," Metro-Goldwyn-Mayer",7,815,43,7,82,8.4
1935," 8th"," False"," Ruggles of Red Gap"," Paramount",7.8,2749,100,8.3,91,8.2
1935," 8th"," False"," Top Hat"," RKO Radio",7.8,13425,100,8.6,91,8
1936," 9th"," False"," Anthony Adverse"," Warner Bros.",6.6,1169,13,4.3,47,6.4
1936," 9th"," False"," Dodsworth"," Samuel Goldwyn Productions",8.1,6266,88,7.5,86,7.8
1936," 9th"," True"," The Great Ziegfeld"," Metro-Goldwyn-Mayer",6.8,5158,65,6.3,51,6.6
1936," 9th"," False"," Libeled Lady"," Metro-Goldwyn-Mayer",7.9,5403,82,7.8,89,8
1936," 9th"," False"," Mr. Deeds Goes to Town"," Columbia",8,15187,89,8.3,86,7.8
1936," 9th"," False"," Romeo and Juliet"," Metro-Goldwyn-Mayer",7.7,23982,97,7.9,74,6.6
1936," 9th"," False"," San Francisco"," Metro-Goldwyn-Mayer",7.3,3865,100,7.4,71,7.4
1936," 9th"," False"," The Story of Louis Pasteur"," Cosmopolitan",7.4,1609,100,8.3,79,7.4
1936," 9th"," False"," A Tale of Two Cities"," Metro-Goldwyn-Mayer",7.8,3985,100,8.2,84,7.6
1936," 9th"," False"," Three Smart Girls"," Universal",6.8,863,86,7.6,58,7.2
1937," 10th"," False"," The Awful Truth"," Columbia",7.9,13722,91,8,88,8
1937," 10th"," False"," Captains Courageous"," Metro-Goldwyn-Mayer",8,6746,93,7.8,88,8
1937," 10th"," False"," Dead End"," Samuel Goldwyn Productions",7.5,4491,75,6.1,60,6.6
1937," 10th"," False"," The Good Earth"," Metro-Goldwyn-Mayer",7.8,3529,94,7.3,77,7.4
1937," 10th"," False"," In Old Chicago"," 20th Century-Fox",6.9,1552,67,6.3,54,6.8
1937," 10th"," True"," The Life of Emile Zola"," Warner Bros.",7.3,5085,75,7.2,73,7.2
1937," 10th"," False"," Lost Horizon"," Columbia",7.8,9427,100,7.5,82,7.6
1937," 10th"," False"," One Hundred Men and a Girl"," Universal",6.9,677,83,7.6,56,7
1937," 10th"," False"," Stage Door"," RKO Radio",7.9,5912,95,8.8,87,7.8
1937," 10th"," False"," A Star Is Born"," Selznick International Pictures",7.7,5385,96,8,83,7.4
1938," 11th"," False"," The Adventures of Robin Hood"," Warner Bros.-First National",8,39177,100,8.9,89,7.4
1938," 11th"," False"," Alexander's Ragtime Band"," 20th Century-Fox",7,1404,80,7,47,6.4
1938," 11th"," False"," Boys Town"," Metro-Goldwyn-Mayer",7.3,4005,89,7.2,82,7.4
1938," 11th"," False"," The Citadel"," Metro-Goldwyn-Mayer",7.2,1454,86,8,68,7
1938," 11th"," False"," Four Daughters"," Warner Bros.-First National",7.1,1283,100,7,83,7.6
1938," 11th"," False"," Grand Illusion"," Realization D'Art Cinematographique",8.1,27154,97,9.4,92,8.6
1938," 11th"," False"," Jezebel"," Warner Bros.",7.6,8941,94,7.5,82,7.6
1938," 11th"," False"," Pygmalion"," Metro-Goldwyn-Mayer",7.9,6042,94,8.2,85,7.6
1938," 11th"," False"," Test Pilot"," Metro-Goldwyn-Mayer",6.9,1509,71,7.2,68,7
